playername	month	year	revid
Don%20Aase	3	2010	339639568
Don%20Aase	3	2011	412344536
Don%20Aase	4	2006	44614032
Don%20Aase	4	2007	118314539
Don%20Aase	4	2008	201740398
Don%20Aase	4	2009	268414723
Don%20Aase	4	2010	339639568
Don%20Aase	4	2011	412344536
Don%20Aase	5	2006	48754678
Don%20Aase	5	2007	126473418
Don%20Aase	5	2008	209106856
Don%20Aase	5	2009	286834043
Don%20Aase	5	2010	339639568
Don%20Aase	5	2011	424891000
Don%20Aase	6	2006	48754678
Don%20Aase	6	2007	132053864
Don%20Aase	6	2008	209106856
Don%20Aase	6	2009	291864065
Don%20Aase	6	2010	364886945
Don%20Aase	6	2011	427778175
Don%20Aase	7	2006	48754678
Don%20Aase	7	2007	132053864
Don%20Aase	7	2008	209106856
Don%20Aase	7	2009	298954907
Don%20Aase	7	2010	370913033
Don%20Aase	7	2011	433250011
Don%20Aase	8	2006	62115856
Don%20Aase	8	2007	144944433
Don%20Aase	8	2008	209106856
Don%20Aase	8	2009	303253294
Don%20Aase	8	2010	370913033
Don%20Aase	8	2011	433250011
Don%20Aase	9	2006	62115856
Don%20Aase	9	2007	154420255
Don%20Aase	9	2008	234361109
Don%20Aase	9	2009	303253294
Don%20Aase	9	2010	370913033
Don%20Aase	9	2011	433250011
Don%20Aase	10	2006	78345237
Don%20Aase	10	2007	157457570
Don%20Aase	10	2008	239737940
Don%20Aase	10	2009	317116663
Don%20Aase	10	2010	370913033
Don%20Aase	10	2011	433250011
Don%20Aase	11	2006	81070395
Don%20Aase	11	2007	163693537
Don%20Aase	11	2008	239737940
Don%20Aase	11	2009	321968012
Don%20Aase	11	2010	392724920
Don%20Aase	11	2011	433250011
Don%20Aase	12	2006	85314709
Don%20Aase	12	2007	168888842
Don%20Aase	12	2008	253214241
Don%20Aase	12	2009	328252739
Don%20Aase	12	2010	392724920
Don%20Aase	12	2011	433250011
Ace%20Adams	1	2006	0
Ace%20Adams	1	2007	94083228
Ace%20Adams	1	2008	154189173
Ace%20Adams	1	2009	249169543
Ace%20Adams	1	2010	313569186
Ace%20Adams	1	2011	395760537
Ace%20Adams	2	2006	0
Ace%20Adams	2	2007	94083228
Ace%20Adams	2	2008	154189173
Ace%20Adams	2	2009	249169543
Ace%20Adams	2	2010	338070211
Ace%20Adams	2	2011	395760537
Ace%20Adams	3	2006	0
Ace%20Adams	3	2007	94083228
Ace%20Adams	3	2008	193814020
Ace%20Adams	3	2009	268414782
Ace%20Adams	3	2010	338070211
Ace%20Adams	3	2011	395760537
Ace%20Adams	4	2006	0
Ace%20Adams	4	2007	94083228
Ace%20Adams	4	2008	193814020
Ace%20Adams	4	2009	275563911
Ace%20Adams	4	2010	338070211
Ace%20Adams	4	2011	421555691
Ace%20Adams	5	2006	50928288
Ace%20Adams	5	2007	123847817
Ace%20Adams	5	2008	193814020
Ace%20Adams	5	2009	283828589
Ace%20Adams	5	2010	338070211
Ace%20Adams	5	2011	425281773
Ace%20Adams	6	2006	55821149
Ace%20Adams	6	2007	123847817
Ace%20Adams	6	2008	210257615
Ace%20Adams	6	2009	289829290
Ace%20Adams	6	2010	364886990
Ace%20Adams	6	2011	425281773
Ace%20Adams	7	2006	61225131
Ace%20Adams	7	2007	123847817
Ace%20Adams	7	2008	219612780
Ace%20Adams	7	2009	295393640
Ace%20Adams	7	2010	364886990
Ace%20Adams	7	2011	433268057
Ace%20Adams	8	2006	66926310
Ace%20Adams	8	2007	148071207
Ace%20Adams	8	2008	226115654
Ace%20Adams	8	2009	304175229
Ace%20Adams	8	2010	372976146
Ace%20Adams	8	2011	433268057
Ace%20Adams	9	2006	67328512
Ace%20Adams	9	2007	154189173
Ace%20Adams	9	2008	234361175
Ace%20Adams	9	2009	311164570
Ace%20Adams	9	2010	372976146
Ace%20Adams	9	2011	433268057
Ace%20Adams	10	2006	67328512
Ace%20Adams	10	2007	154189173
Ace%20Adams	10	2008	234361175
Ace%20Adams	10	2009	313569186
Ace%20Adams	10	2010	372976146
Ace%20Adams	10	2011	433268057
Ace%20Adams	11	2006	67328512
Ace%20Adams	11	2007	154189173
Ace%20Adams	11	2008	234361175
Ace%20Adams	11	2009	313569186
Ace%20Adams	11	2010	393147951
Ace%20Adams	11	2011	433268057
Ace%20Adams	12	2006	67328512
Ace%20Adams	12	2007	154189173
Ace%20Adams	12	2008	249169543
Ace%20Adams	12	2009	313569186
Ace%20Adams	12	2010	395760537
Ace%20Adams	12	2011	461565386
Joe%20Adcock	1	2006	26237749
Joe%20Adcock	1	2007	92998041
Joe%20Adcock	1	2008	180267825
Joe%20Adcock	1	2009	257312485
Joe%20Adcock	1	2010	333379144
Joe%20Adcock	1	2011	403515846
Joe%20Adcock	2	2006	35740161
Joe%20Adcock	2	2007	92998041
Joe%20Adcock	2	2008	187422754
Joe%20Adcock	2	2009	257312485
Joe%20Adcock	2	2010	333379144
Joe%20Adcock	2	2011	403515846
Joe%20Adcock	3	2006	40459374
Joe%20Adcock	3	2007	92998041
Joe%20Adcock	3	2008	194764978
Joe%20Adcock	3	2009	269170422
Joe%20Adcock	3	2010	333379144
Joe%20Adcock	3	2011	403515846
Joe%20Adcock	4	2006	40459374
Joe%20Adcock	4	2007	116424435
Joe%20Adcock	4	2008	194764978
Joe%20Adcock	4	2009	269170422
Joe%20Adcock	4	2010	333379144
Joe%20Adcock	4	2011	417942106
Joe%20Adcock	5	2006	50111188
Joe%20Adcock	5	2007	120169600
Joe%20Adcock	5	2008	202744059
Joe%20Adcock	5	2009	269170422
Joe%20Adcock	5	2010	333379144
Joe%20Adcock	5	2011	424814742
Joe%20Adcock	6	2006	50111188
Joe%20Adcock	6	2007	131969610
Joe%20Adcock	6	2008	202744059
Joe%20Adcock	6	2009	290633225
Joe%20Adcock	6	2010	365107891
Joe%20Adcock	6	2011	431666072
Joe%20Adcock	7	2006	59161871
Joe%20Adcock	7	2007	140397743
Joe%20Adcock	7	2008	218602258
Joe%20Adcock	7	2009	297027997
Joe%20Adcock	7	2010	369614341
Joe%20Adcock	7	2011	433226205
Joe%20Adcock	8	2006	62788349
Joe%20Adcock	8	2007	144999549
Joe%20Adcock	8	2008	228636999
Joe%20Adcock	8	2009	303386008
Joe%20Adcock	8	2010	369614341
Joe%20Adcock	8	2011	438676074
Joe%20Adcock	9	2006	72239264
Joe%20Adcock	9	2007	152740465
Joe%20Adcock	9	2008	234405141
Joe%20Adcock	9	2009	303386008
Joe%20Adcock	9	2010	379862179
Joe%20Adcock	9	2011	442448080
Joe%20Adcock	10	2006	77980689
Joe%20Adcock	10	2007	155798323
Joe%20Adcock	10	2008	239785531
Joe%20Adcock	10	2009	303386008
Joe%20Adcock	10	2010	386832676
Joe%20Adcock	10	2011	442448080
Joe%20Adcock	11	2006	84334351
Joe%20Adcock	11	2007	168214542
Joe%20Adcock	11	2008	239785531
Joe%20Adcock	11	2009	303386008
Joe%20Adcock	11	2010	393145989
Joe%20Adcock	11	2011	442448080
Joe%20Adcock	12	2006	91193491
Joe%20Adcock	12	2007	168214542
Joe%20Adcock	12	2008	253157941
Joe%20Adcock	12	2009	303386008
Joe%20Adcock	12	2010	393145989
Joe%20Adcock	12	2011	442448080
Tommie%20Agee	1	2006	32842620
Tommie%20Agee	1	2007	93617297
Tommie%20Agee	1	2008	181024229
Tommie%20Agee	1	2009	260253874
Tommie%20Agee	1	2010	328565851
Tommie%20Agee	1	2011	397780833
Tommie%20Agee	2	2006	32842620
Tommie%20Agee	2	2007	100697651
Tommie%20Agee	2	2008	183126626
Tommie%20Agee	2	2009	266219773
Tommie%20Agee	2	2010	339041279
Tommie%20Agee	2	2011	397780833
Tommie%20Agee	3	2006	32842620
Tommie%20Agee	3	2007	107996500
Tommie%20Agee	3	2008	192027330
Tommie%20Agee	3	2009	266219773
Tommie%20Agee	3	2010	343950047
Tommie%20Agee	3	2011	397780833
Tommie%20Agee	4	2006	44125822
Tommie%20Agee	4	2007	114546542
Tommie%20Agee	4	2008	202408241
Tommie%20Agee	4	2009	280541794
Tommie%20Agee	4	2010	351531258
Tommie%20Agee	4	2011	397780833
Tommie%20Agee	5	2006	44125822
Tommie%20Agee	5	2007	124610917
Tommie%20Agee	5	2008	203175454
Tommie%20Agee	5	2009	286089571
Tommie%20Agee	5	2010	351531258
Tommie%20Agee	5	2011	424815299
Tommie%20Agee	6	2006	55121300
Tommie%20Agee	6	2007	133588916
Tommie%20Agee	6	2008	215291168
Tommie%20Agee	6	2009	289477001
Tommie%20Agee	6	2010	364883696
Tommie%20Agee	6	2011	424815299
Tommie%20Agee	7	2006	61323828
Tommie%20Agee	7	2007	138615997
Tommie%20Agee	7	2008	220450079
Tommie%20Agee	7	2009	299338551
Tommie%20Agee	7	2010	370189101
Tommie%20Agee	7	2011	433227333
Tommie%20Agee	8	2006	66238234
Tommie%20Agee	8	2007	147628342
Tommie%20Agee	8	2008	227645851
Tommie%20Agee	8	2009	299338551
Tommie%20Agee	8	2010	374272416
Tommie%20Agee	8	2011	437237316
Tommie%20Agee	9	2006	72625913
Tommie%20Agee	9	2007	153855114
Tommie%20Agee	9	2008	234355869
Tommie%20Agee	9	2009	299338551
Tommie%20Agee	9	2010	379236220
Tommie%20Agee	9	2011	437237316
Tommie%20Agee	10	2006	78458918
Tommie%20Agee	10	2007	157092839
Tommie%20Agee	10	2008	239833726
Tommie%20Agee	10	2009	316641576
Tommie%20Agee	10	2010	383661483
Tommie%20Agee	10	2011	437237316
Tommie%20Agee	11	2006	84416701
Tommie%20Agee	11	2007	165201678
Tommie%20Agee	11	2008	239833726
Tommie%20Agee	11	2009	323162582
Tommie%20Agee	11	2010	394040742
Tommie%20Agee	11	2011	453634196
Tommie%20Agee	12	2006	91179389
Tommie%20Agee	12	2007	174765146
Tommie%20Agee	12	2008	253158863
Tommie%20Agee	12	2009	328565851
Tommie%20Agee	12	2010	397780833
Tommie%20Agee	12	2011	462778665
Hank%20Aguirre	1	2006	0
Hank%20Aguirre	1	2007	94919236
Hank%20Aguirre	1	2008	177553044
Hank%20Aguirre	1	2009	257312750
Hank%20Aguirre	1	2010	334337268
Hank%20Aguirre	1	2011	393156458
Hank%20Aguirre	2	2006	0
Hank%20Aguirre	2	2007	94919236
Hank%20Aguirre	2	2008	186794767
Hank%20Aguirre	2	2009	265387553
Hank%20Aguirre	2	2010	338077847
Hank%20Aguirre	2	2011	409616801
Hank%20Aguirre	3	2006	0
Hank%20Aguirre	3	2007	94919236
Hank%20Aguirre	3	2008	188617432
Hank%20Aguirre	3	2009	273622310
Hank%20Aguirre	3	2010	344463795
Hank%20Aguirre	3	2011	409616801
Hank%20Aguirre	4	2006	44595042
Hank%20Aguirre	4	2007	94919236
Hank%20Aguirre	4	2008	188617432
Hank%20Aguirre	4	2009	273622310
Hank%20Aguirre	4	2010	344463795
Hank%20Aguirre	4	2011	419702939
Hank%20Aguirre	5	2006	48239490
Hank%20Aguirre	5	2007	94919236
Hank%20Aguirre	5	2008	208932256
Hank%20Aguirre	5	2009	284352809
Hank%20Aguirre	5	2010	356734240
Hank%20Aguirre	5	2011	426636677
Hank%20Aguirre	6	2006	52014373
Hank%20Aguirre	6	2007	133722708
Hank%20Aguirre	6	2008	208932256
Hank%20Aguirre	6	2009	287379582
Hank%20Aguirre	6	2010	364887073
Hank%20Aguirre	6	2011	431595184
Hank%20Aguirre	7	2006	60342609
Hank%20Aguirre	7	2007	135379835
Hank%20Aguirre	7	2008	208932256
Hank%20Aguirre	7	2009	299146616
Hank%20Aguirre	7	2010	366122108
Hank%20Aguirre	7	2011	433262550
Hank%20Aguirre	8	2006	60342609
Hank%20Aguirre	8	2007	146125102
Hank%20Aguirre	8	2008	228493135
Hank%20Aguirre	8	2009	299146616
Hank%20Aguirre	8	2010	366122108
Hank%20Aguirre	8	2011	433262550
Hank%20Aguirre	9	2006	60342609
Hank%20Aguirre	9	2007	150166266
Hank%20Aguirre	9	2008	234499275
Hank%20Aguirre	9	2009	299146616
Hank%20Aguirre	9	2010	366122108
Hank%20Aguirre	9	2011	433262550
Hank%20Aguirre	10	2006	60342609
Hank%20Aguirre	10	2007	158856340
Hank%20Aguirre	10	2008	241941173
Hank%20Aguirre	10	2009	299146616
Hank%20Aguirre	10	2010	387264955
Hank%20Aguirre	10	2011	433262550
Hank%20Aguirre	11	2006	60342609
Hank%20Aguirre	11	2007	166002762
Hank%20Aguirre	11	2008	241941173
Hank%20Aguirre	11	2009	322977118
Hank%20Aguirre	11	2010	393156458
Hank%20Aguirre	11	2011	433262550
Hank%20Aguirre	12	2006	60342609
Hank%20Aguirre	12	2007	171416558
Hank%20Aguirre	12	2008	241941173
Hank%20Aguirre	12	2009	322977118
Hank%20Aguirre	12	2010	393156458
Hank%20Aguirre	12	2011	433262550
Doyle%20Alexander	1	2006	31866382
Doyle%20Alexander	1	2007	92945833
Doyle%20Alexander	1	2008	181212779
Doyle%20Alexander	1	2009	234581772
Doyle%20Alexander	1	2010	322521702
Doyle%20Alexander	1	2011	393144944
Doyle%20Alexander	2	2006	31866382
Doyle%20Alexander	2	2007	99201137
Doyle%20Alexander	2	2008	182131411
Doyle%20Alexander	2	2009	234581772
Doyle%20Alexander	2	2010	338945255
Doyle%20Alexander	2	2011	410250268
Doyle%20Alexander	3	2006	37920515
Doyle%20Alexander	3	2007	99201137
Doyle%20Alexander	3	2008	192138151
Doyle%20Alexander	3	2009	269366672
Doyle%20Alexander	3	2010	341410553
Doyle%20Alexander	3	2011	412733703
Doyle%20Alexander	4	2006	44569741
Doyle%20Alexander	4	2007	99201137
Doyle%20Alexander	4	2008	192138151
Doyle%20Alexander	4	2009	277184911
Doyle%20Alexander	4	2010	341410553
Doyle%20Alexander	4	2011	412733703
Doyle%20Alexander	5	2006	44569741
Doyle%20Alexander	5	2007	126144935
Doyle%20Alexander	5	2008	208676241
Doyle%20Alexander	5	2009	284849053
Doyle%20Alexander	5	2010	341410553
Doyle%20Alexander	5	2011	425702749
Doyle%20Alexander	6	2006	55645843
Doyle%20Alexander	6	2007	131364359
Doyle%20Alexander	6	2008	214347373
Doyle%20Alexander	6	2009	284849053
Doyle%20Alexander	6	2010	364883703
Doyle%20Alexander	6	2011	425702749
Doyle%20Alexander	7	2006	59639785
Doyle%20Alexander	7	2007	140413439
Doyle%20Alexander	7	2008	222511874
Doyle%20Alexander	7	2009	294212307
Doyle%20Alexander	7	2010	364883703
Doyle%20Alexander	7	2011	433228693
Doyle%20Alexander	8	2006	64882730
Doyle%20Alexander	8	2007	145119910
Doyle%20Alexander	8	2008	226149990
Doyle%20Alexander	8	2009	294212307
Doyle%20Alexander	8	2010	364883703
Doyle%20Alexander	8	2011	440168785
Doyle%20Alexander	9	2006	64882730
Doyle%20Alexander	9	2007	154421706
Doyle%20Alexander	9	2008	234581772
Doyle%20Alexander	9	2009	294212307
Doyle%20Alexander	9	2010	376508257
Doyle%20Alexander	9	2011	440168785
Doyle%20Alexander	10	2006	64882730
Doyle%20Alexander	10	2007	158856427
Doyle%20Alexander	10	2008	234581772
Doyle%20Alexander	10	2009	294212307
Doyle%20Alexander	10	2010	376508257
Doyle%20Alexander	10	2011	440168785
Doyle%20Alexander	11	2006	64882730
Doyle%20Alexander	11	2007	163702645
Doyle%20Alexander	11	2008	234581772
Doyle%20Alexander	11	2009	322521702
Doyle%20Alexander	11	2010	393144944
Doyle%20Alexander	11	2011	440168785
Doyle%20Alexander	12	2006	87029481
Doyle%20Alexander	12	2007	163702645
Doyle%20Alexander	12	2008	234581772
Doyle%20Alexander	12	2009	322521702
Doyle%20Alexander	12	2010	393144944
Doyle%20Alexander	12	2011	440168785
Dick%20Allen	1	2006	31288735
Dick%20Allen	1	2007	93623292
Dick%20Allen	1	2008	181239578
Dick%20Allen	1	2009	261145681
Dick%20Allen	1	2010	334384552
Dick%20Allen	1	2011	399363263
Dick%20Allen	2	2006	36794804
Dick%20Allen	2	2007	102933992
Dick%20Allen	2	2008	187376342
Dick%20Allen	2	2009	264348983
Dick%20Allen	2	2010	339343408
Dick%20Allen	2	2011	409706146
Dick%20Allen	3	2006	40121752
Dick%20Allen	3	2007	109922522
Dick%20Allen	3	2008	190014811
Dick%20Allen	3	2009	271521573
Dick%20Allen	3	2010	345554107
Dick%20Allen	3	2011	414479991
Dick%20Allen	4	2006	43038130
Dick%20Allen	4	2007	118850170
Dick%20Allen	4	2008	201916238
Dick%20Allen	4	2009	280762560
Dick%20Allen	4	2010	348551114
Dick%20Allen	4	2011	420293468
Dick%20Allen	5	2006	48530859
Dick%20Allen	5	2007	124227847
Dick%20Allen	5	2008	206498565
Dick%20Allen	5	2009	286331376
Dick%20Allen	5	2010	348551114
Dick%20Allen	5	2011	424873415
Dick%20Allen	6	2006	55864115
Dick%20Allen	6	2007	128365433
Dick%20Allen	6	2008	216233626
Dick%20Allen	6	2009	291737727
Dick%20Allen	6	2010	365298604
Dick%20Allen	6	2011	424873415
Dick%20Allen	7	2006	57034510
Dick%20Allen	7	2007	140718829
Dick%20Allen	7	2008	221004334
Dick%20Allen	7	2009	299339777
Dick%20Allen	7	2010	368064381
Dick%20Allen	7	2011	436827162
Dick%20Allen	8	2006	66884472
Dick%20Allen	8	2007	147149488
Dick%20Allen	8	2008	227645863
Dick%20Allen	8	2009	304655196
Dick%20Allen	8	2010	373232602
Dick%20Allen	8	2011	442147442
Dick%20Allen	9	2006	72237703
Dick%20Allen	9	2007	153858530
Dick%20Allen	9	2008	234587774
Dick%20Allen	9	2009	311170401
Dick%20Allen	9	2010	380283695
Dick%20Allen	9	2011	442147442
Dick%20Allen	10	2006	76159305
Dick%20Allen	10	2007	160276831
Dick%20Allen	10	2008	236845013
Dick%20Allen	10	2009	314978406
Dick%20Allen	10	2010	385510966
Dick%20Allen	10	2011	442147442
Dick%20Allen	11	2006	82348919
Dick%20Allen	11	2007	168148291
Dick%20Allen	11	2008	247342791
Dick%20Allen	11	2009	322546309
Dick%20Allen	11	2010	393449621
Dick%20Allen	11	2011	457368453
Dick%20Allen	12	2006	90953597
Dick%20Allen	12	2007	168538780
Dick%20Allen	12	2008	254827376
Dick%20Allen	12	2009	328712377
Dick%20Allen	12	2010	399363263
Dick%20Allen	12	2011	457368453
Gene%20Alley	1	2006	16531437
Gene%20Alley	1	2007	93005626
Gene%20Alley	1	2008	164266278
Gene%20Alley	1	2009	237613567
Gene%20Alley	1	2010	333310679
Gene%20Alley	1	2011	399387460
Gene%20Alley	2	2006	16531437
Gene%20Alley	2	2007	93005626
Gene%20Alley	2	2008	164266278
Gene%20Alley	2	2009	237613567
Gene%20Alley	2	2010	335579826
Gene%20Alley	2	2011	407367125
Gene%20Alley	3	2006	38181896
Gene%20Alley	3	2007	93005626
Gene%20Alley	3	2008	189451644
Gene%20Alley	3	2009	268278976
Gene%20Alley	3	2010	335579826
Gene%20Alley	3	2011	407367125
Gene%20Alley	4	2006	45062061
Gene%20Alley	4	2007	114547408
Gene%20Alley	4	2008	189451644
Gene%20Alley	4	2009	268278976
Gene%20Alley	4	2010	351667099
Gene%20Alley	4	2011	407367125
Gene%20Alley	5	2006	45062061
