playername	month	year	revs
Yogi%20Berra	11	2008	19
Yogi%20Berra	11	2009	26
Yogi%20Berra	11	2010	16
Yogi%20Berra	11	2011	13
Yogi%20Berra	12	2006	29
Yogi%20Berra	12	2007	12
Yogi%20Berra	12	2008	9
Yogi%20Berra	12	2009	13
Yogi%20Berra	12	2010	18
Yogi%20Berra	12	2011	4
Joe%20Coleman	1	2006	0
Joe%20Coleman	1	2007	1
Joe%20Coleman	1	2008	1
Joe%20Coleman	1	2009	0
Joe%20Coleman	1	2010	0
Joe%20Coleman	1	2011	0
Joe%20Coleman	2	2006	0
Joe%20Coleman	2	2007	0
Joe%20Coleman	2	2008	0
Joe%20Coleman	2	2009	0
Joe%20Coleman	2	2010	0
Joe%20Coleman	2	2011	0
Joe%20Coleman	3	2006	0
Joe%20Coleman	3	2007	1
Joe%20Coleman	3	2008	0
Joe%20Coleman	3	2009	0
Joe%20Coleman	3	2010	0
Joe%20Coleman	3	2011	0
Joe%20Coleman	4	2006	0
Joe%20Coleman	4	2007	0
Joe%20Coleman	4	2008	1
Joe%20Coleman	4	2009	0
Joe%20Coleman	4	2010	0
Joe%20Coleman	4	2011	0
Joe%20Coleman	5	2006	0
Joe%20Coleman	5	2007	0
Joe%20Coleman	5	2008	4
Joe%20Coleman	5	2009	0
Joe%20Coleman	5	2010	0
Joe%20Coleman	5	2011	0
Joe%20Coleman	6	2006	0
Joe%20Coleman	6	2007	0
Joe%20Coleman	6	2008	0
Joe%20Coleman	6	2009	0
Joe%20Coleman	6	2010	0
Joe%20Coleman	6	2011	0
Joe%20Coleman	7	2006	0
Joe%20Coleman	7	2007	0
Joe%20Coleman	7	2008	0
Joe%20Coleman	7	2009	0
Joe%20Coleman	7	2010	0
Joe%20Coleman	7	2011	0
Joe%20Coleman	8	2006	1
Joe%20Coleman	8	2007	0
Joe%20Coleman	8	2008	0
Joe%20Coleman	8	2009	0
Joe%20Coleman	8	2010	0
Joe%20Coleman	8	2011	0
Joe%20Coleman	9	2006	1
Joe%20Coleman	9	2007	0
Joe%20Coleman	9	2008	0
Joe%20Coleman	9	2009	0
Joe%20Coleman	9	2010	0
Joe%20Coleman	9	2011	0
Joe%20Coleman	10	2006	0
Joe%20Coleman	10	2007	0
Joe%20Coleman	10	2008	0
Joe%20Coleman	10	2009	0
Joe%20Coleman	10	2010	0
Joe%20Coleman	10	2011	0
Joe%20Coleman	11	2006	1
Joe%20Coleman	11	2007	0
Joe%20Coleman	11	2008	0
Joe%20Coleman	11	2009	0
Joe%20Coleman	11	2010	0
Joe%20Coleman	11	2011	0
Joe%20Coleman	12	2006	0
Joe%20Coleman	12	2007	0
Joe%20Coleman	12	2008	0
Joe%20Coleman	12	2009	0
Joe%20Coleman	12	2010	0
Joe%20Coleman	12	2011	1
Don%20Aase	1	2006	0
Don%20Aase	1	2007	2
Don%20Aase	1	2008	0
Don%20Aase	1	2009	4
Don%20Aase	1	2010	4
Don%20Aase	1	2011	1
Don%20Aase	2	2006	2
Don%20Aase	2	2007	5
Don%20Aase	2	2008	2
Don%20Aase	2	2009	1
Don%20Aase	2	2010	0
Don%20Aase	2	2011	2
Don%20Aase	3	2006	1
Don%20Aase	3	2007	2
Don%20Aase	3	2008	11
Don%20Aase	3	2009	0
Don%20Aase	3	2010	0
Don%20Aase	3	2011	0
Don%20Aase	4	2006	4
Don%20Aase	4	2007	1
Don%20Aase	4	2008	2
Don%20Aase	4	2009	2
Don%20Aase	4	2010	0
Don%20Aase	4	2011	2
Don%20Aase	5	2006	0
Don%20Aase	5	2007	1
Don%20Aase	5	2008	0
Don%20Aase	5	2009	4
Don%20Aase	5	2010	2
Don%20Aase	5	2011	6
Don%20Aase	6	2006	0
Don%20Aase	6	2007	0
Don%20Aase	6	2008	0
Don%20Aase	6	2009	3
Don%20Aase	6	2010	1
Don%20Aase	6	2011	1
Don%20Aase	7	2006	1
Don%20Aase	7	2007	1
Don%20Aase	7	2008	0
Don%20Aase	7	2009	1
Don%20Aase	7	2010	0
Don%20Aase	7	2011	0
Don%20Aase	8	2006	0
Don%20Aase	8	2007	10
Don%20Aase	8	2008	19
Don%20Aase	8	2009	0
Don%20Aase	8	2010	0
Don%20Aase	8	2011	0
Don%20Aase	9	2006	1
Don%20Aase	9	2007	3
Don%20Aase	9	2008	3
Don%20Aase	9	2009	1
Don%20Aase	9	2010	0
Don%20Aase	9	2011	0
Don%20Aase	10	2006	1
Don%20Aase	10	2007	1
Don%20Aase	10	2008	0
Don%20Aase	10	2009	1
Don%20Aase	10	2010	2
Don%20Aase	10	2011	0
Don%20Aase	11	2006	1
Don%20Aase	11	2007	1
Don%20Aase	11	2008	1
Don%20Aase	11	2009	1
Don%20Aase	11	2010	0
Don%20Aase	11	2011	0
Don%20Aase	12	2006	4
Don%20Aase	12	2007	3
Don%20Aase	12	2008	1
Don%20Aase	12	2009	2
Don%20Aase	12	2010	0
Don%20Aase	12	2011	0
Ace%20Adams	1	2006	0
Ace%20Adams	1	2007	0
Ace%20Adams	1	2008	0
Ace%20Adams	1	2009	0
Ace%20Adams	1	2010	2
Ace%20Adams	1	2011	0
Ace%20Adams	2	2006	0
Ace%20Adams	2	2007	0
Ace%20Adams	2	2008	2
Ace%20Adams	2	2009	1
Ace%20Adams	2	2010	0
Ace%20Adams	2	2011	0
Ace%20Adams	3	2006	0
Ace%20Adams	3	2007	0
Ace%20Adams	3	2008	0
Ace%20Adams	3	2009	1
Ace%20Adams	3	2010	0
Ace%20Adams	3	2011	2
Ace%20Adams	4	2006	0
Ace%20Adams	4	2007	2
Ace%20Adams	4	2008	0
Ace%20Adams	4	2009	1
Ace%20Adams	4	2010	0
Ace%20Adams	4	2011	2
Ace%20Adams	5	2006	4
Ace%20Adams	5	2007	0
Ace%20Adams	5	2008	1
Ace%20Adams	5	2009	1
Ace%20Adams	5	2010	1
Ace%20Adams	5	2011	0
Ace%20Adams	6	2006	1
Ace%20Adams	6	2007	0
Ace%20Adams	6	2008	2
Ace%20Adams	6	2009	1
Ace%20Adams	6	2010	0
Ace%20Adams	6	2011	1
Ace%20Adams	7	2006	0
Ace%20Adams	7	2007	4
Ace%20Adams	7	2008	1
Ace%20Adams	7	2009	1
Ace%20Adams	7	2010	1
Ace%20Adams	7	2011	0
Ace%20Adams	8	2006	1
Ace%20Adams	8	2007	1
Ace%20Adams	8	2008	3
Ace%20Adams	8	2009	0
Ace%20Adams	8	2010	0
Ace%20Adams	8	2011	0
Ace%20Adams	9	2006	0
Ace%20Adams	9	2007	0
Ace%20Adams	9	2008	0
Ace%20Adams	9	2009	1
Ace%20Adams	9	2010	0
Ace%20Adams	9	2011	0
Ace%20Adams	10	2006	0
Ace%20Adams	10	2007	0
Ace%20Adams	10	2008	0
Ace%20Adams	10	2009	0
Ace%20Adams	10	2010	2
Ace%20Adams	10	2011	0
Ace%20Adams	11	2006	0
Ace%20Adams	11	2007	0
Ace%20Adams	11	2008	1
Ace%20Adams	11	2009	0
Ace%20Adams	11	2010	1
Ace%20Adams	11	2011	2
Ace%20Adams	12	2006	2
Ace%20Adams	12	2007	0
Ace%20Adams	12	2008	0
Ace%20Adams	12	2009	0
Ace%20Adams	12	2010	0
Ace%20Adams	12	2011	0
Joe%20Adcock	1	2006	5
Joe%20Adcock	1	2007	0
Joe%20Adcock	1	2008	2
Joe%20Adcock	1	2009	0
Joe%20Adcock	1	2010	0
Joe%20Adcock	1	2011	0
Joe%20Adcock	2	2006	2
Joe%20Adcock	2	2007	0
Joe%20Adcock	2	2008	4
Joe%20Adcock	2	2009	4
Joe%20Adcock	2	2010	0
Joe%20Adcock	2	2011	0
Joe%20Adcock	3	2006	0
Joe%20Adcock	3	2007	3
Joe%20Adcock	3	2008	0
Joe%20Adcock	3	2009	0
Joe%20Adcock	3	2010	0
Joe%20Adcock	3	2011	1
Joe%20Adcock	4	2006	7
Joe%20Adcock	4	2007	1
Joe%20Adcock	4	2008	1
Joe%20Adcock	4	2009	0
Joe%20Adcock	4	2010	0
Joe%20Adcock	4	2011	1
Joe%20Adcock	5	2006	0
Joe%20Adcock	5	2007	1
Joe%20Adcock	5	2008	0
Joe%20Adcock	5	2009	1
Joe%20Adcock	5	2010	1
Joe%20Adcock	5	2011	1
Joe%20Adcock	6	2006	1
Joe%20Adcock	6	2007	2
Joe%20Adcock	6	2008	3
Joe%20Adcock	6	2009	1
Joe%20Adcock	6	2010	1
Joe%20Adcock	6	2011	1
Joe%20Adcock	7	2006	3
Joe%20Adcock	7	2007	6
Joe%20Adcock	7	2008	3
Joe%20Adcock	7	2009	2
Joe%20Adcock	7	2010	0
Joe%20Adcock	7	2011	1
Joe%20Adcock	8	2006	2
Joe%20Adcock	8	2007	9
Joe%20Adcock	8	2008	2
Joe%20Adcock	8	2009	0
Joe%20Adcock	8	2010	8
Joe%20Adcock	8	2011	2
Joe%20Adcock	9	2006	1
Joe%20Adcock	9	2007	1
Joe%20Adcock	9	2008	3
Joe%20Adcock	9	2009	0
Joe%20Adcock	9	2010	4
Joe%20Adcock	9	2011	0
Joe%20Adcock	10	2006	3
Joe%20Adcock	10	2007	2
Joe%20Adcock	10	2008	0
Joe%20Adcock	10	2009	0
Joe%20Adcock	10	2010	1
Joe%20Adcock	10	2011	0
Joe%20Adcock	11	2006	0
Joe%20Adcock	11	2007	0
Joe%20Adcock	11	2008	1
Joe%20Adcock	11	2009	0
Joe%20Adcock	11	2010	0
Joe%20Adcock	11	2011	0
Joe%20Adcock	12	2006	1
Joe%20Adcock	12	2007	3
Joe%20Adcock	12	2008	1
Joe%20Adcock	12	2009	1
Joe%20Adcock	12	2010	1
Joe%20Adcock	12	2011	1
Tommie%20Agee	1	2006	0
Tommie%20Agee	1	2007	5
Tommie%20Agee	1	2008	2
Tommie%20Agee	1	2009	6
Tommie%20Agee	1	2010	10
Tommie%20Agee	1	2011	0
Tommie%20Agee	2	2006	0
Tommie%20Agee	2	2007	2
Tommie%20Agee	2	2008	2
Tommie%20Agee	2	2009	0
Tommie%20Agee	2	2010	1
Tommie%20Agee	2	2011	0
Tommie%20Agee	3	2006	1
Tommie%20Agee	3	2007	2
Tommie%20Agee	3	2008	1
Tommie%20Agee	3	2009	8
Tommie%20Agee	3	2010	1
Tommie%20Agee	3	2011	0
Tommie%20Agee	4	2006	0
Tommie%20Agee	4	2007	3
Tommie%20Agee	4	2008	1
Tommie%20Agee	4	2009	1
Tommie%20Agee	4	2010	0
Tommie%20Agee	4	2011	1
Tommie%20Agee	5	2006	3
Tommie%20Agee	5	2007	2
Tommie%20Agee	5	2008	3
Tommie%20Agee	5	2009	3
Tommie%20Agee	5	2010	4
Tommie%20Agee	5	2011	0
Tommie%20Agee	6	2006	3
Tommie%20Agee	6	2007	5
Tommie%20Agee	6	2008	2
Tommie%20Agee	6	2009	4
Tommie%20Agee	6	2010	3
Tommie%20Agee	6	2011	1
Tommie%20Agee	7	2006	3
Tommie%20Agee	7	2007	6
Tommie%20Agee	7	2008	2
Tommie%20Agee	7	2009	0
Tommie%20Agee	7	2010	2
Tommie%20Agee	7	2011	1
Tommie%20Agee	8	2006	2
Tommie%20Agee	8	2007	3
Tommie%20Agee	8	2008	2
Tommie%20Agee	8	2009	0
Tommie%20Agee	8	2010	5
Tommie%20Agee	8	2011	0
Tommie%20Agee	9	2006	3
Tommie%20Agee	9	2007	4
Tommie%20Agee	9	2008	2
Tommie%20Agee	9	2009	2
Tommie%20Agee	9	2010	1
Tommie%20Agee	9	2011	0
Tommie%20Agee	10	2006	5
Tommie%20Agee	10	2007	3
Tommie%20Agee	10	2008	0
Tommie%20Agee	10	2009	1
Tommie%20Agee	10	2010	3
Tommie%20Agee	10	2011	2
Tommie%20Agee	11	2006	0
Tommie%20Agee	11	2007	9
Tommie%20Agee	11	2008	7
Tommie%20Agee	11	2009	3
Tommie%20Agee	11	2010	1
Tommie%20Agee	11	2011	2
Tommie%20Agee	12	2006	4
Tommie%20Agee	12	2007	5
Tommie%20Agee	12	2008	7
Tommie%20Agee	12	2009	0
Tommie%20Agee	12	2010	0
Tommie%20Agee	12	2011	2
Hank%20Aguirre	1	2006	0
Hank%20Aguirre	1	2007	0
Hank%20Aguirre	1	2008	1
Hank%20Aguirre	1	2009	3
Hank%20Aguirre	1	2010	1
Hank%20Aguirre	1	2011	1
Hank%20Aguirre	2	2006	0
Hank%20Aguirre	2	2007	0
Hank%20Aguirre	2	2008	1
Hank%20Aguirre	2	2009	5
Hank%20Aguirre	2	2010	2
Hank%20Aguirre	2	2011	0
Hank%20Aguirre	3	2006	2
Hank%20Aguirre	3	2007	0
Hank%20Aguirre	3	2008	0
Hank%20Aguirre	3	2009	0
Hank%20Aguirre	3	2010	0
Hank%20Aguirre	3	2011	1
Hank%20Aguirre	4	2006	2
Hank%20Aguirre	4	2007	0
Hank%20Aguirre	4	2008	2
Hank%20Aguirre	4	2009	2
Hank%20Aguirre	4	2010	1
Hank%20Aguirre	4	2011	2
Hank%20Aguirre	5	2006	1
Hank%20Aguirre	5	2007	4
Hank%20Aguirre	5	2008	0
Hank%20Aguirre	5	2009	1
Hank%20Aguirre	5	2010	3
Hank%20Aguirre	5	2011	3
Hank%20Aguirre	6	2006	3
Hank%20Aguirre	6	2007	1
Hank%20Aguirre	6	2008	0
Hank%20Aguirre	6	2009	1
Hank%20Aguirre	6	2010	3
Hank%20Aguirre	6	2011	1
Hank%20Aguirre	7	2006	0
Hank%20Aguirre	7	2007	2
Hank%20Aguirre	7	2008	3
Hank%20Aguirre	7	2009	0
Hank%20Aguirre	7	2010	0
Hank%20Aguirre	7	2011	0
Hank%20Aguirre	8	2006	0
Hank%20Aguirre	8	2007	9
Hank%20Aguirre	8	2008	6
Hank%20Aguirre	8	2009	0
Hank%20Aguirre	8	2010	0
Hank%20Aguirre	8	2011	0
Hank%20Aguirre	9	2006	0
Hank%20Aguirre	9	2007	2
Hank%20Aguirre	9	2008	4
Hank%20Aguirre	9	2009	0
Hank%20Aguirre	9	2010	2
Hank%20Aguirre	9	2011	0
Hank%20Aguirre	10	2006	0
Hank%20Aguirre	10	2007	3
Hank%20Aguirre	10	2008	0
Hank%20Aguirre	10	2009	4
Hank%20Aguirre	10	2010	2
Hank%20Aguirre	10	2011	0
Hank%20Aguirre	11	2006	0
Hank%20Aguirre	11	2007	3
Hank%20Aguirre	11	2008	0
Hank%20Aguirre	11	2009	0
Hank%20Aguirre	11	2010	0
Hank%20Aguirre	11	2011	0
Hank%20Aguirre	12	2006	3
Hank%20Aguirre	12	2007	6
Hank%20Aguirre	12	2008	1
Hank%20Aguirre	12	2009	2
Hank%20Aguirre	12	2010	0
Hank%20Aguirre	12	2011	1
Doyle%20Alexander	1	2006	0
Doyle%20Alexander	1	2007	1
Doyle%20Alexander	1	2008	1
Doyle%20Alexander	1	2009	0
Doyle%20Alexander	1	2010	1
Doyle%20Alexander	1	2011	1
Doyle%20Alexander	2	2006	1
Doyle%20Alexander	2	2007	0
Doyle%20Alexander	2	2008	2
Doyle%20Alexander	2	2009	1
Doyle%20Alexander	2	2010	1
Doyle%20Alexander	2	2011	1
Doyle%20Alexander	3	2006	4
Doyle%20Alexander	3	2007	0
Doyle%20Alexander	3	2008	0
Doyle%20Alexander	3	2009	1
Doyle%20Alexander	3	2010	0
Doyle%20Alexander	3	2011	0
Doyle%20Alexander	4	2006	0
Doyle%20Alexander	4	2007	5
Doyle%20Alexander	4	2008	3
Doyle%20Alexander	4	2009	2
Doyle%20Alexander	4	2010	0
Doyle%20Alexander	4	2011	2
Doyle%20Alexander	5	2006	1
Doyle%20Alexander	5	2007	1
Doyle%20Alexander	5	2008	1
Doyle%20Alexander	5	2009	0
Doyle%20Alexander	5	2010	1
Doyle%20Alexander	5	2011	0
Doyle%20Alexander	6	2006	4
Doyle%20Alexander	6	2007	8
Doyle%20Alexander	6	2008	1
Doyle%20Alexander	6	2009	1
Doyle%20Alexander	6	2010	0
Doyle%20Alexander	6	2011	1
Doyle%20Alexander	7	2006	3
Doyle%20Alexander	7	2007	1
Doyle%20Alexander	7	2008	1
Doyle%20Alexander	7	2009	0
Doyle%20Alexander	7	2010	0
Doyle%20Alexander	7	2011	5
Doyle%20Alexander	8	2006	0
Doyle%20Alexander	8	2007	3
Doyle%20Alexander	8	2008	3
Doyle%20Alexander	8	2009	0
Doyle%20Alexander	8	2010	1
Doyle%20Alexander	8	2011	0
Doyle%20Alexander	9	2006	0
Doyle%20Alexander	9	2007	4
Doyle%20Alexander	9	2008	0
Doyle%20Alexander	9	2009	0
Doyle%20Alexander	9	2010	0
Doyle%20Alexander	9	2011	0
Doyle%20Alexander	10	2006	0
Doyle%20Alexander	10	2007	1
Doyle%20Alexander	10	2008	0
Doyle%20Alexander	10	2009	2
Doyle%20Alexander	10	2010	2
Doyle%20Alexander	10	2011	0
Doyle%20Alexander	11	2006	1
Doyle%20Alexander	11	2007	0
Doyle%20Alexander	11	2008	0
Doyle%20Alexander	11	2009	0
Doyle%20Alexander	11	2010	0
Doyle%20Alexander	11	2011	0
Doyle%20Alexander	12	2006	1
Doyle%20Alexander	12	2007	0
Doyle%20Alexander	12	2008	0
Doyle%20Alexander	12	2009	0
Doyle%20Alexander	12	2010	0
Doyle%20Alexander	12	2011	0
Dick%20Allen	1	2006	3
Dick%20Allen	1	2007	6
Dick%20Allen	1	2008	4
Dick%20Allen	1	2009	23
Dick%20Allen	1	2010	8
Dick%20Allen	1	2011	2
Dick%20Allen	2	2006	4
Dick%20Allen	2	2007	5
Dick%20Allen	2	2008	3
Dick%20Allen	2	2009	2
Dick%20Allen	2	2010	6
Dick%20Allen	2	2011	21
Dick%20Allen	3	2006	2
Dick%20Allen	3	2007	2
Dick%20Allen	3	2008	4
Dick%20Allen	3	2009	5
Dick%20Allen	3	2010	1
Dick%20Allen	3	2011	1
Dick%20Allen	4	2006	6
Dick%20Allen	4	2007	3
Dick%20Allen	4	2008	11
Dick%20Allen	4	2009	5
Dick%20Allen	4	2010	0
Dick%20Allen	4	2011	2
Dick%20Allen	5	2006	2
Dick%20Allen	5	2007	2
Dick%20Allen	5	2008	2
Dick%20Allen	5	2009	2
Dick%20Allen	5	2010	3
Dick%20Allen	5	2011	0
Dick%20Allen	6	2006	1
Dick%20Allen	6	2007	9
Dick%20Allen	6	2008	2
Dick%20Allen	6	2009	2
Dick%20Allen	6	2010	3
Dick%20Allen	6	2011	4
Dick%20Allen	7	2006	5
Dick%20Allen	7	2007	12
Dick%20Allen	7	2008	2
Dick%20Allen	7	2009	2
Dick%20Allen	7	2010	1
Dick%20Allen	7	2011	6
Dick%20Allen	8	2006	3
Dick%20Allen	8	2007	7
Dick%20Allen	8	2008	6
Dick%20Allen	8	2009	6
Dick%20Allen	8	2010	1
Dick%20Allen	8	2011	0
Dick%20Allen	9	2006	1
Dick%20Allen	9	2007	6
Dick%20Allen	9	2008	2
Dick%20Allen	9	2009	3
Dick%20Allen	9	2010	4
Dick%20Allen	9	2011	0
Dick%20Allen	10	2006	10
Dick%20Allen	10	2007	2
Dick%20Allen	10	2008	1
Dick%20Allen	10	2009	1
Dick%20Allen	10	2010	10
Dick%20Allen	10	2011	3
Dick%20Allen	11	2006	13
Dick%20Allen	11	2007	2
Dick%20Allen	11	2008	1
Dick%20Allen	11	2009	4
Dick%20Allen	11	2010	2
Dick%20Allen	11	2011	0
Dick%20Allen	12	2006	10
Dick%20Allen	12	2007	7
Dick%20Allen	12	2008	81
Dick%20Allen	12	2009	9
Dick%20Allen	12	2010	0
Dick%20Allen	12	2011	0
Gene%20Alley	1	2006	0
Gene%20Alley	1	2007	0
Gene%20Alley	1	2008	0
Gene%20Alley	1	2009	0
Gene%20Alley	1	2010	3
Gene%20Alley	1	2011	2
Gene%20Alley	2	2006	1
Gene%20Alley	2	2007	0
Gene%20Alley	2	2008	2
Gene%20Alley	2	2009	1
Gene%20Alley	2	2010	0
Gene%20Alley	2	2011	0
Gene%20Alley	3	2006	1
Gene%20Alley	3	2007	1
Gene%20Alley	3	2008	0
Gene%20Alley	3	2009	0
Gene%20Alley	3	2010	3
Gene%20Alley	3	2011	0
Gene%20Alley	4	2006	0
Gene%20Alley	4	2007	0
Gene%20Alley	4	2008	0
Gene%20Alley	4	2009	1
Gene%20Alley	4	2010	0
Gene%20Alley	4	2011	1
Gene%20Alley	5	2006	1
Gene%20Alley	5	2007	0
Gene%20Alley	5	2008	0
Gene%20Alley	5	2009	0
Gene%20Alley	5	2010	0
Gene%20Alley	5	2011	0
Gene%20Alley	6	2006	1
Gene%20Alley	6	2007	1
Gene%20Alley	6	2008	0
Gene%20Alley	6	2009	0
Gene%20Alley	6	2010	1
Gene%20Alley	6	2011	1
Gene%20Alley	7	2006	0
Gene%20Alley	7	2007	0
Gene%20Alley	7	2008	1
Gene%20Alley	7	2009	0
Gene%20Alley	7	2010	0
Gene%20Alley	7	2011	0
Gene%20Alley	8	2006	1
Gene%20Alley	8	2007	0
Gene%20Alley	8	2008	2
Gene%20Alley	8	2009	0
Gene%20Alley	8	2010	0
Gene%20Alley	8	2011	0
Gene%20Alley	9	2006	0
Gene%20Alley	9	2007	2
Gene%20Alley	9	2008	1
Gene%20Alley	9	2009	1
Gene%20Alley	9	2010	0
Gene%20Alley	9	2011	0
Gene%20Alley	10	2006	0
Gene%20Alley	10	2007	1
Gene%20Alley	10	2008	0
Gene%20Alley	10	2009	0
Gene%20Alley	10	2010	2
Gene%20Alley	10	2011	0
Gene%20Alley	11	2006	0
Gene%20Alley	11	2007	0
Gene%20Alley	11	2008	0
Gene%20Alley	11	2009	0
Gene%20Alley	11	2010	1
Gene%20Alley	11	2011	0
Gene%20Alley	12	2006	2
Gene%20Alley	12	2007	0
Gene%20Alley	12	2008	0
Gene%20Alley	12	2009	1
Gene%20Alley	12	2010	0
Gene%20Alley	12	2011	0
Bob%20Allison	1	2006	0
Bob%20Allison	1	2007	0
Bob%20Allison	1	2008	1
Bob%20Allison	1	2009	1
Bob%20Allison	1	2010	0
Bob%20Allison	1	2011	0
Bob%20Allison	2	2006	0
Bob%20Allison	2	2007	1
Bob%20Allison	2	2008	2
Bob%20Allison	2	2009	0
Bob%20Allison	2	2010	2
Bob%20Allison	2	2011	0
Bob%20Allison	3	2006	0
Bob%20Allison	3	2007	0
Bob%20Allison	3	2008	0
Bob%20Allison	3	2009	1
Bob%20Allison	3	2010	1
Bob%20Allison	3	2011	1
Bob%20Allison	4	2006	0
Bob%20Allison	4	2007	0
Bob%20Allison	4	2008	0
Bob%20Allison	4	2009	1
Bob%20Allison	4	2010	0
Bob%20Allison	4	2011	1
Bob%20Allison	5	2006	2
Bob%20Allison	5	2007	2
Bob%20Allison	5	2008	1
Bob%20Allison	5	2009	1
Bob%20Allison	5	2010	1
Bob%20Allison	5	2011	18
Bob%20Allison	6	2006	2
Bob%20Allison	6	2007	1
Bob%20Allison	6	2008	3
Bob%20Allison	6	2009	0
Bob%20Allison	6	2010	7
Bob%20Allison	6	2011	2
Bob%20Allison	7	2006	2
Bob%20Allison	7	2007	3
Bob%20Allison	7	2008	4
Bob%20Allison	7	2009	3
Bob%20Allison	7	2010	1
Bob%20Allison	7	2011	1
Bob%20Allison	8	2006	2
Bob%20Allison	8	2007	0
Bob%20Allison	8	2008	3
